,name,lat_grid,lon_grid,view_possible
0,1. Mont Blanc (4808 m),45.8325,6.86444444,True 
1,2. Monte Rosa / Mont Rose (Dufourspitze) (4634 m),45.93694444,7.86694444,True 
2,3. Dom (4545 m),46.09388889,7.85888889,True 
3,4. Lyskamm (4533 m),45.92222222,7.83555556,True 
4,5. Weisshorn (4506 m),46.10138889,7.71583333,True 
5,6. Matterhorn / Mont Cervin (4478 m),45.97638889,7.65861111,False 
6,7. Dent Blanche (4357 m),46.03416667,7.61194444,True 
7,8. Grand Combin (4314 m),45.9375,7.29916667,True 
8,9. Finsteraarhorn (4274 m),46.53722222,8.12611111,True 
9,10. Zinalrothorn (4221 m),46.065,7.69027778,True 
10,11. Grandes Jorasses (Pte Walker) (4208 m),45.86916667,6.98833333,True 
11,12. Alphubel (4206 m),46.06305556,7.86388889,True 
12,13. Rimpfischhorn (4199 m),46.02333333,7.88416667,True 
13,14. Aletschhorn (4193 m),46.465,7.99388889,True 
14,15. Strahlhorn (4190 m),46.01333333,7.90166667,True 
15,16. Dent d'Hérens (4174 m),45.97,7.60527778,True 
16,17. Breithorn (4164 m),45.94111111,7.74888889,True 
17,18. Jungfrau (4158 m),46.53666667,7.9625,True 
18,19. Aig. Verte (4122 m),45.93472222,6.97027778,True 
19,20. Mönch (4107 m),46.55833333,7.99722222,False 
20,21. Barre des Écrins (4102 m),44.9225,6.36,True 
21,22. Schreckhorn (4078 m),46.59,8.11805556,True 
22,23. Ober Gabelhorn (4063 m),46.03861111,7.66805556,True 
23,24. Gran Paradiso / Grand Paradis (4061 m),45.51805556,7.26722222,True 
24,25. Piz Bernina (4049 m),46.38222222,9.90805556,False 
25,26. Gross Fiescherhorn (4049 m),46.55138889,8.06138889,True 
26,27. Gross Grünhorn (4044 m),46.53194444,8.07777778,True 
27,28. Weissmies (4017 m),46.12777778,8.01222222,True 
28,29. Lagginhorn (4010 m),46.15722222,8.00305556,True 
29,30. Piz Zupò (3996 m),46.36833333,9.93138889,False 
30,Fletschhorn (3985 m),46.16805556,8.00333333,True 
31,31. Gletscherhorn (3983 m),46.51277778,7.96777778,False 
32,32. Meije (3982 m),45.00472222,6.30861111,True 
33,33. Eiger (3967 m),46.5775,8.00527778,True 
34,34. Grivola (3969 m),45.59583333,7.2575,True 
35,35. Grand Cornier (3962 m),46.05194444,7.61138889,True 
36,36. Ailefroide (3954 m),44.885,6.35638889,True 
37,37. Mont Pelvoux (3943 m),44.8975,6.39666667,True 
38,38. Piz Roseg (3937 m),46.37361111,9.88305556,False 
39,39. Bietschhorn (3934 m),46.39166667,7.85083333,True 
40,40. Trugberg (3933 m),46.54666667,8.01527778,True 
41,41. Aig. de Tré la Tête (3923 m),45.79472222,6.815,True 
42,42. Pic Sans Nom (3913 m),44.89333333,6.38388889,True 
43,43. Gross Wannenhorn (3906 m),46.49388889,8.09694444,True 
44,44. Ortler (3905 m),46.50888889,10.54472222,False 
45,45. Aig. d'Argentière (3901 m),45.96,7.02,True 
46,46. Ruinette (3875 m),45.97916667,7.40027778,True 
47,47. Aig. de Triolet (3870 m),45.91666667,7.02444444,True 
48,48. Grande Casse (3855 m),45.40527778,6.82777778,True 
