Name,latitude,longitude
1. Mont Blanc (4808 m),45.83250000,6.86444444
2. Monte Rosa / Mont Rose (Dufourspitze) (4634 m),45.93694444,7.86694444
3. Dom (4545 m),46.09388889,7.85888889
4. Lyskamm (4533 m),45.92222222,7.83555556
5. Weisshorn (4506 m),46.10138889,7.71583333
6. Matterhorn / Mont Cervin (4478 m),45.97638889,7.65861111
7. Dent Blanche (4357 m),46.03416667,7.61194444
8. Grand Combin (4314 m),45.93750000,7.29916667
9. Finsteraarhorn (4274 m),46.53722222,8.12611111
10. Zinalrothorn (4221 m),46.06500000,7.69027778
11. Grandes Jorasses (Pte Walker) (4208 m),45.86916667,6.98833333
12. Alphubel (4206 m),46.06305556,7.86388889
13. Rimpfischhorn (4199 m),46.02333333,7.88416667
14. Aletschhorn (4193 m),46.46500000,7.99388889
15. Strahlhorn (4190 m),46.01333333,7.90166667
16. Dent d'Hérens (4174 m),45.97000000,7.60527778
17. Breithorn (4164 m),45.94111111,7.74888889
18. Jungfrau (4158 m),46.53666667,7.96250000
19. Aig. Verte (4122 m),45.93472222,6.97027778
20. Mönch (4107 m),46.55833333,7.99722222
21. Barre des Écrins (4102 m),44.92250000,6.36000000
22. Schreckhorn (4078 m),46.59000000,8.11805556
23. Ober Gabelhorn (4063 m),46.03861111,7.66805556
24. Gran Paradiso / Grand Paradis (4061 m),45.51805556,7.26722222
25. Piz Bernina (4049 m),46.38222222,9.90805556
26. Gross Fiescherhorn (4049 m),46.55138889,8.06138889
27. Gross Grünhorn (4044 m),46.53194444,8.07777778
28. Weissmies (4017 m),46.12777778,8.01222222
29. Lagginhorn (4010 m),46.15722222,8.00305556
30. Piz Zupò (3996 m),46.36833333,9.93138889
Fletschhorn (3985 m),46.16805556,8.00333333
31. Gletscherhorn (3983 m),46.51277778,7.96777778
32. Meije (3982 m),45.00472222,6.30861111
33. Eiger (3967 m),46.57750000,8.00527778
34. Grivola (3969 m),45.59583333,7.25750000
35. Grand Cornier (3962 m),46.05194444,7.61138889
36. Ailefroide (3954 m),44.88500000,6.35638889
37. Mont Pelvoux (3943 m),44.89750000,6.39666667
38. Piz Roseg (3937 m),46.37361111,9.88305556
39. Bietschhorn (3934 m),46.39166667,7.85083333
40. Trugberg (3933 m),46.54666667,8.01527778
41. Aig. de Tré la Tête (3923 m),45.79472222,6.81500000
42. Pic Sans Nom (3913 m),44.89333333,6.38388889
43. Gross Wannenhorn (3906 m),46.49388889,8.09694444
44. Ortler (3905 m),46.50888889,10.54472222
45. Aig. d'Argentière (3901 m),45.96000000,7.02000000
46. Ruinette (3875 m),45.97916667,7.40027778
47. Aig. de Triolet (3870 m),45.91666667,7.02444444
48. Grande Casse (3855 m),45.40527778,6.82777778
49. Königspitze / Gran Zebrù (3851 m),46.47861111,10.56833333
50. Aig. du Midi (3842 m),45.87861111,6.88750000
51. Monviso / Monte Viso / Vísol (3841 m),44.66750000,7.09083333
52. Bouquetins (3838 m),45.98222222,7.54527778
53. Tour Noir (3837 m),45.94888889,7.03750000
Brunegghorn (3833 m),46.12583333,7.74555556
54. Aig. du Chardonnet (3824 m),45.96888889,7.00111111
55. Nesthorn (3821 m),46.41333333,7.92611111
56. Mont Dolent (3820 m),45.92250000,7.04611111
57. Aig. des Glaciers (3816 m),45.77861111,6.80250000
58. Le Râteau (3809 m),45.00083333,6.28305556
59. Großglockner (3798 m),47.07416667,12.69444444
60. Schinhorn (3797 m),46.45166667,7.94666667
61. Pte de Zinal (3789 m),46.02694444,7.63055556
62. Lauterbrunnen Breithorn (3780 m),46.47861111,7.87666667
63. Mont Pourri (3779 m),45.52805556,6.86027778
64. Aig. Noire de Peuterey (3774 m),45.81527778,6.89305556
65. Wildspitze (3770 m),46.88527778,10.86722222
66. Monte Cevedale (3769 m),46.44388889,10.61666667
67. Grande Ruine (3765 m),44.96777778,6.32972222
68. Aig. de Leschaux (3759 m),45.88750000,7.00694444
69. Pte de Charbonnel (3752 m),45.28027778,7.05500000
70. Piz Morteratsch (3751 m),46.40277778,9.90166667
71. Aig. de la Grande Sassière  (3747 m),45.50500000,7.00000000
72. Weißkugel (3739 m),46.79777778,10.72638889
73. Roche Faurio (3730 m),44.94194444,6.35805556
74. Mont Vélan (3726 m),45.89166667,7.25166667
75. Evêque (3716 m),45.96444444,7.50277778
76. Combin de Corbassière  (3716 m),45.97805556,7.28055556
77. La Singla (3714 m),45.94583333,7.47194444
78. Wetterhörner (Mittelhorn) (3704 m),46.63527778,8.12472222
79. Le Pleureur (3704 m),46.01638889,7.36916667
80. Balmhorn (3698 m),46.42500000,7.69361111
81. Dent Parrachée (3697 m),45.28916667,6.75638889
82. Torre del Gran San Pietro / Tour du Grand-Saint-Pierre (3692 m),45.52583333,7.35888889
83. Monte Disgrazia (3678 m),46.26916667,9.74944444
84. Pta San Matteo (3678 m),46.37777778,10.56722222
85. Uia di Ciamarella (3676 m),45.32861111,7.14527778
86. Dent de Perroc (3676 m),46.03944444,7.52305556
87. Dômes de Miage (3673 m),45.81555556,6.80027778
88. Les Bans (3669 m),44.84861111,6.33666667
89. Großvenediger (3666 m),47.10916667,12.34638889
90. Montagne des Agneaux (3664 m),44.95027778,6.43055556
91. Blüemlisalphorn (3661 m),46.48888889,7.77250000
92. Portjengrat: Pizzo d'Andolla (3654 m),46.10083333,8.03472222
93. Grande Motte (3653 m),45.41138889,6.87027778
Thurwieserspitze (3652 m),46.49527778,10.52527778
94. Aigs Rouges d'Arolla (3644 m),46.05527778,7.43361111
95. Ciarforon / Charforon (3640 m),45.49333333,7.24722222
96. Doldenhorn (3638 m),46.46888889,7.73472222
97. Albaron (3637 m),45.33250000,7.10277778
98. Dammastock (3630 m),46.64333333,8.42111111
99. Hintere Schwärze  (3628 m),46.77333333,10.91472222
100. Levanna Centrale (3619 m),45.41027778,7.17194444
101. Tödi (Piz Russein) (3614 m),46.81111111,8.91472222
102. Pte de Ronce (3612 m),45.26444444,6.97861111
103. Les Diablons (3609 m),46.14250000,7.67111111
104. Grande Rousse / Bec de l'Invergnan (3607 m),45.56333333,7.08444444
105. Tsanteleina (3602 m),45.47944444,7.04611111
