Name;latitude;longitude;view_possible
1720m:CrêtdelaNeige(Ain);46.270975;5.939543;True
1718m:LeReculet(Ain);46.257406;5.929961;True
1688m:ColombydeGex(Ain);46.322181;5.995407;True
1679m:MontTendre(Vaud);46.594868;6.309923;True
1677m:LaDôle(Vaud);46.425687;6.099964;True
1628m:PointedePoêleChaud(Vaud);46.434913;6.107211;True
1621m:GrandCrêtd'EaudontCrêtdelaGoutte(Ain);46.150445;5.863528;True
1614m:MontRond(Ain);46.347966;6.006241;True
1607m:LeChasseron(Vaud);46.851771;6.538256;True
1606m:Chasseral(Berne);47.133002;7.059312;True
