name,altitude,latitude,longitude,view_possible
Mont Blanc ,4808.0,45.8325,6.86444444,True
Monte Rosa / Mont Rose (Dufourspitze) ,4634.0,45.93694444,7.86694444,True
Dom ,4545.0,46.09388889,7.85888889,True
Lyskamm ,4533.0,45.92222222,7.83555556,True
Weisshorn ,4506.0,46.10138889,7.71583333,True
Matterhorn / Mont Cervin ,4478.0,45.97638889,7.65861111,True
Dent Blanche ,4357.0,46.03416667,7.61194444,True
Grand Combin ,4314.0,45.9375,7.29916667,True
Finsteraarhorn ,4274.0,46.53722222,8.12611111,True
Zinalrothorn ,4221.0,46.065,7.69027778,True
Grandes Jorasses (Pte Walker) ,4208.0,45.86916667,6.98833333,True
Alphubel ,4206.0,46.06305556,7.86388889,True
Rimpfischhorn ,4199.0,46.02333333,7.88416667,True
Aletschhorn ,4193.0,46.465,7.99388889,True
Strahlhorn ,4190.0,46.01333333,7.90166667,True
Dent d'Hérens ,4174.0,45.97,7.60527778,True
Breithorn ,4164.0,45.94111111,7.74888889,True
Jungfrau ,4158.0,46.53666667,7.9625,True
Aig. Verte ,4122.0,45.93472222,6.97027778,True
Mönch ,4107.0,46.55833333,7.99722222,False
Barre des Écrins ,4102.0,44.9225,6.36,True
Schreckhorn ,4078.0,46.59,8.11805556,True
Ober Gabelhorn ,4063.0,46.03861111,7.66805556,True
Gran Paradiso / Grand Paradis ,4061.0,45.51805556,7.26722222,True
Piz Bernina ,4049.0,46.38222222,9.90805556,False
Gross Fiescherhorn ,4049.0,46.55138889,8.06138889,True
Gross Grünhorn ,4044.0,46.53194444,8.07777778,True
Weissmies ,4017.0,46.12777778,8.01222222,True
Lagginhorn ,4010.0,46.15722222,8.00305556,True
Piz Zupò ,3996.0,46.36833333,9.93138889,False
Fletschhorn ,3985.0,46.16805556,8.00333333,True
Gletscherhorn ,3983.0,46.51277778,7.96777778,False
Meije ,3982.0,45.00472222,6.30861111,True
Eiger ,3967.0,46.5775,8.00527778,True
Grivola ,3969.0,45.59583333,7.2575,True
Grand Cornier ,3962.0,46.05194444,7.61138889,True
Ailefroide ,3954.0,44.885,6.35638889,True
Mont Pelvoux ,3943.0,44.8975,6.39666667,True
Piz Roseg ,3937.0,46.37361111,9.88305556,False
Bietschhorn ,3934.0,46.39166667,7.85083333,True
Trugberg ,3933.0,46.54666667,8.01527778,True
Aig. de Tré la Tête ,3923.0,45.79472222,6.815,True
Pic Sans Nom ,3913.0,44.89333333,6.38388889,True
Gross Wannenhorn ,3906.0,46.49388889,8.09694444,True
Ortler ,3905.0,46.50888889,10.54472222,False
Aig. d'Argentière ,3901.0,45.96,7.02,True
Ruinette ,3875.0,45.97916667,7.40027778,True
Aig. de Triolet ,3870.0,45.91666667,7.02444444,True
Grande Casse ,3855.0,45.40527778,6.82777778,True
Königspitze / Gran Zebrù ,3851.0,46.47861111,10.56833333,False
Aig. du Midi ,3842.0,45.87861111,6.8875,True
Monviso / Monte Viso / Vísol ,3841.0,44.6675,7.09083333,True
Bouquetins ,3838.0,45.98222222,7.54527778,True
Tour Noir ,3837.0,45.94888889,7.0375,True
Brunegghorn ,3833.0,46.12583333,7.74555556,False
Aig. du Chardonnet ,3824.0,45.96888889,7.00111111,True
Nesthorn ,3821.0,46.41333333,7.92611111,True
Mont Dolent ,3820.0,45.9225,7.04611111,True
Aig. des Glaciers ,3816.0,45.77861111,6.8025,True
Le Râteau ,3809.0,45.00083333,6.28305556,True
